10-04 22:49:43: Training starting...
10-04 22:49:44: New best reward 25.0 (-100.0%) at episode 0, saving model...
10-04 22:49:44: New best reward 31.0 (+24.0%) at episode 4, saving model...
10-04 22:49:44: New best reward 43.0 (+38.7%) at episode 6, saving model...
10-04 22:49:44: New best reward 50.0 (+16.3%) at episode 8, saving model...
10-04 22:49:44: New best reward 56.0 (+12.0%) at episode 18, saving model...
10-04 22:49:44: New best reward 92.0 (+64.3%) at episode 22, saving model...
10-04 22:49:53: New best reward 124.0 (+34.8%) at episode 2658, saving model...
10-04 22:49:53: New best reward 143.0 (+15.3%) at episode 2687, saving model...
10-04 22:49:54: New best reward 146.0 (+2.1%) at episode 2852, saving model...
10-04 22:49:58: New best reward 156.0 (+6.8%) at episode 3123, saving model...
10-04 22:50:16: New best reward 160.0 (+2.6%) at episode 5293, saving model...
10-04 22:50:16: New best reward 169.0 (+5.6%) at episode 5303, saving model...
10-04 22:50:24: New best reward 173.0 (+2.4%) at episode 5876, saving model...
10-04 22:51:19: New best reward 207.0 (+19.7%) at episode 10257, saving model...
10-04 22:52:28: New best reward 208.0 (+0.5%) at episode 13978, saving model...
10-04 22:52:44: New best reward 211.0 (+1.4%) at episode 14618, saving model...
10-04 22:52:44: New best reward 213.0 (+0.9%) at episode 14625, saving model...
10-04 22:52:46: New best reward 226.0 (+6.1%) at episode 14681, saving model...
10-04 22:52:51: New best reward 227.0 (+0.4%) at episode 14857, saving model...
10-04 22:52:52: New best reward 229.0 (+0.9%) at episode 14905, saving model...
10-04 22:52:52: New best reward 243.0 (+6.1%) at episode 14919, saving model...
10-04 22:52:59: New best reward 274.0 (+12.8%) at episode 15139, saving model...
10-04 22:53:01: New best reward 403.0 (+47.1%) at episode 15232, saving model...
10-04 22:53:03: New best reward 503.0 (+24.8%) at episode 15289, saving model...
10-04 22:53:12: New best reward 520.0 (+3.4%) at episode 15545, saving model...
10-04 22:53:20: New best reward 1139.0 (+119.0%) at episode 15788, saving model...
10-04 22:54:19: New best reward 1167.0 (+2.5%) at episode 17461, saving model...
10-04 22:54:47: New best reward 1320.0 (+13.1%) at episode 18115, saving model...
10-04 22:55:13: New best reward 1493.0 (+13.1%) at episode 18647, saving model...
10-04 23:02:02: New best reward 1609.0 (+7.8%) at episode 28279, saving model...
10-04 23:02:36: New best reward 1617.0 (+0.5%) at episode 28777, saving model...
10-04 23:03:10: New best reward 2185.0 (+35.1%) at episode 29228, saving model...
10-04 23:08:02: New best reward 3101.0 (+41.9%) at episode 33207, saving model...
10-04 23:08:57: New best reward 3340.0 (+7.7%) at episode 33751, saving model...
10-04 23:09:06: New best reward 4804.0 (+43.8%) at episode 33802, saving model...
10-04 23:09:16: New best reward 11320.0 (+135.6%) at episode 33849, saving model...
10-04 23:13:20: New best reward 12705.0 (+12.2%) at episode 37026, saving model...
10-04 23:13:33: New best reward 17990.0 (+41.6%) at episode 37037, saving model...
10-04 23:27:14: New best reward 18624.0 (+3.5%) at episode 46862, saving model...
10-04 23:28:31: New best reward 22625.0 (+21.5%) at episode 47082, saving model...
10-04 23:42:39: New best reward 25163.0 (+11.2%) at episode 58474, saving model...
10-04 23:43:17: New best reward 47778.0 (+89.9%) at episode 58536, saving model...
10-04 23:52:55: New best reward 100000.0 (+109.3%) at episode 68855, saving model...
