10-04 00:28:39: Training starting...
10-04 00:28:39: New best reward -6.3 (-100.0%) at episode 0, saving model...
10-04 00:28:40: New best reward -5.7 (-9.5%) at episode 56, saving model...
10-04 00:28:40: New best reward -3.9 (-31.6%) at episode 113, saving model...
10-04 00:28:41: New best reward -2.1 (-46.2%) at episode 280, saving model...
10-04 00:28:43: New best reward -1.5 (-28.6%) at episode 845, saving model...
10-04 00:28:52: New best reward 0.9 (-160.0%) at episode 2666, saving model...
10-04 00:28:53: New best reward 2.1 (+133.3%) at episode 2967, saving model...
10-04 00:29:02: New best reward 3.9 (+85.7%) at episode 4786, saving model...
10-04 00:29:24: New best reward 4.4 (+12.8%) at episode 9083, saving model...
10-04 00:29:43: New best reward 4.5 (+2.3%) at episode 12648, saving model...
10-04 00:29:43: New best reward 6.3 (+40.0%) at episode 12663, saving model...
10-04 00:29:58: New best reward 6.6 (+4.8%) at episode 15571, saving model...
10-04 00:30:00: New best reward 6.7 (+1.5%) at episode 15809, saving model...
10-04 00:30:10: New best reward 8.4 (+25.4%) at episode 17743, saving model...
10-04 00:30:22: New best reward 9.2 (+9.5%) at episode 19926, saving model...
10-04 00:31:15: New best reward 9.3 (+1.1%) at episode 29118, saving model...
10-04 00:45:15: New best reward 12.9 (+38.7%) at episode 156065, saving model...
10-04 00:45:22: New best reward 19.1 (+48.1%) at episode 156924, saving model...
10-04 00:46:05: New best reward 22.4 (+17.3%) at episode 162768, saving model...
10-04 00:46:34: New best reward 22.9 (+2.2%) at episode 166250, saving model...
10-04 00:47:04: New best reward 31.9 (+39.3%) at episode 169866, saving model...
10-04 00:48:11: New best reward 32.5 (+1.9%) at episode 177101, saving model...
10-04 00:49:39: New best reward 41.7 (+28.3%) at episode 186662, saving model...
10-04 00:52:19: New best reward 54.9 (+31.7%) at episode 204001, saving model...
10-04 00:56:38: New best reward 59.9 (+9.1%) at episode 229330, saving model...
